Run	Sample	Condition	sex	host_organism	genotype_of_experiment_host	tissue	strain	developmental_stage
SRR25997145	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997150	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997151	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997148	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997147	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997149	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997152	SAMN37187614	In_vitro_5d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997160	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997163	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997164	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997161	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997162	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997159	SAMN37187615	In_vitro_7d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997171	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997169	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997170	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997173	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997172	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997174	SAMN37187616	In_vitro_7d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997189	SAMN37187617	In_vitro_7d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997192	SAMN37187617	In_vitro_7d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997190	SAMN37187617	In_vitro_7d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997191	SAMN37187617	In_vitro_7d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997196	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997197	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997198	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997194	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997195	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997193	SAMN37187618	In_vitro_7d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25993874	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993876	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993875	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993877	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993878	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993873	SAMN37187619	WT_5d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993928	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993930	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993927	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993929	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993931	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993932	SAMN37187620	WT_5d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993949	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993954	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993950	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993951	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993952	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993953	SAMN37187621	WT_7d_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993957	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993960	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993956	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993955	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25993959	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
