# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00228329	-2.69
WBGene00228332	-4.99
WBGene00228334	-3.47
WBGene00228337	1.72
WBGene00228340	-1.75
WBGene00228343	-2.05
WBGene00228344	2.51
WBGene00228346	-2.34
WBGene00228347	2.21
WBGene00228348	-6.04
WBGene00228350	-1.68
WBGene00228352	-2.41
WBGene00228353	-0.59
WBGene00228355	-0.43
WBGene00228357	-1.22
WBGene00228358	-6.00
WBGene00228359	-1.08
WBGene00228361	-1.49
WBGene00228364	-1.88
WBGene00228374	-1.79
WBGene00228376	2.99
WBGene00228377	3.10
WBGene00228379	-3.78
WBGene00228384	-2.26
WBGene00228385	-1.70
WBGene00228386	1.74
WBGene00228388	-3.65
WBGene00228390	1.48
WBGene00228395	1.11
WBGene00228397	-0.96
WBGene00228398	-10.83
WBGene00228399	-8.03
WBGene00228409	-3.76
WBGene00228410	1.53
WBGene00228411	1.30
WBGene00228412	0.92
WBGene00228413	2.93
WBGene00228415	1.55
WBGene00228416	1.10
WBGene00228417	-3.78
WBGene00228418	-2.05
WBGene00228427	0.76
WBGene00228433	2.24
WBGene00228439	-7.81
WBGene00228445	-0.91
WBGene00228446	-4.29
WBGene00228452	3.55
WBGene00228457	2.64
WBGene00228458	-2.19
WBGene00228459	-0.61
WBGene00228467	-4.70
WBGene00228476	1.79
WBGene00228477	-0.42
WBGene00228481	0.67
WBGene00228483	-0.59
WBGene00228484	1.43
WBGene00228492	4.33
WBGene00228494	-6.43
WBGene00228497	-11.83
WBGene00228504	-2.23
WBGene00228510	3.07
WBGene00228516	-2.53
WBGene00228520	-4.15
WBGene00228522	-2.90
WBGene00228526	-2.55
WBGene00228530	2.95
WBGene00228532	-3.41
WBGene00228533	-5.12
WBGene00228537	-4.11
WBGene00228538	-3.11
WBGene00228540	-6.04
WBGene00228551	-4.76
WBGene00228555	-6.03
WBGene00228559	-1.25
WBGene00228560	-5.28
WBGene00228563	3.28
WBGene00228566	-2.22
WBGene00228567	2.10
WBGene00228569	1.89
WBGene00228573	2.12
WBGene00228574	1.92
WBGene00228577	-7.86
WBGene00228578	-0.58
WBGene00228581	2.08
WBGene00228586	2.39
WBGene00228588	-2.33
WBGene00228589	-2.26
WBGene00228594	-3.68
WBGene00228610	0.86
WBGene00228615	2.51
WBGene00228618	1.95
WBGene00228620	0.96
WBGene00228622	2.29
WBGene00228624	2.31
WBGene00228625	-1.64
WBGene00228638	-2.19
WBGene00228639	3.53
WBGene00228641	3.27
WBGene00228644	-3.69
WBGene00228645	4.06
WBGene00228648	-6.97
WBGene00228649	0.88
WBGene00228651	1.02
WBGene00228654	-4.35
WBGene00228655	4.28
WBGene00228657	1.02
WBGene00228658	2.26
WBGene00228660	-9.35
WBGene00228663	1.09
WBGene00228664	-2.03
WBGene00228669	-9.47
WBGene00228670	-3.21
WBGene00228673	-9.09
WBGene00228674	-5.24
WBGene00228675	-8.30
WBGene00228677	0.52
WBGene00228679	1.73
WBGene00228682	0.46
WBGene00228683	-7.34
WBGene00228684	-2.53
WBGene00228685	-0.53
WBGene00228686	-1.50
WBGene00228687	1.05
WBGene00228688	-0.45
WBGene00228692	3.46
WBGene00228699	-2.55
WBGene00228701	-2.60
WBGene00228703	1.62
WBGene00228705	-1.84
WBGene00228707	2.18
WBGene00228711	1.07
WBGene00228714	-9.23
WBGene00228724	0.98
WBGene00228731	0.69
WBGene00228737	1.66
WBGene00228738	-3.54
WBGene00228741	-7.82
WBGene00228747	-5.95
WBGene00228751	2.35
WBGene00228755	-0.35
WBGene00228756	1.99
WBGene00228757	3.49
WBGene00228758	-6.06
WBGene00228762	0.45
WBGene00228763	-1.82
WBGene00228764	-0.85
WBGene00228770	1.36
WBGene00228773	-9.61
WBGene00228774	1.70
WBGene00228776	4.90
WBGene00228779	-7.83
WBGene00228780	3.21
WBGene00228782	2.43
WBGene00228785	-1.73
WBGene00228794	0.95
WBGene00228795	-1.89
WBGene00228796	-6.84
WBGene00228799	-0.69
WBGene00228800	2.56
WBGene00228806	-5.70
WBGene00228807	-9.31
WBGene00228813	7.24
WBGene00228814	0.99
WBGene00228815	1.02
WBGene00228818	-2.30
WBGene00228821	3.43
WBGene00228825	2.03
WBGene00228826	-1.25
WBGene00228834	1.54
WBGene00228837	1.89
WBGene00228843	3.49
WBGene00228846	-0.57
WBGene00228847	-2.57
WBGene00228852	0.70
WBGene00228854	-1.21
WBGene00228855	-1.64
WBGene00228858	1.58
WBGene00228866	4.89
WBGene00228867	1.61
WBGene00228870	-9.72
WBGene00228877	-4.08
WBGene00228888	-1.51
WBGene00228889	1.16
WBGene00228892	0.95
WBGene00228896	0.84
WBGene00228897	6.38
WBGene00228902	-7.31
WBGene00228905	-2.73
WBGene00228909	-2.22
WBGene00228911	6.40
WBGene00228912	-5.55
WBGene00228914	-4.69
WBGene00228918	-0.93
WBGene00228921	-0.88
WBGene00228922	-1.50
WBGene00228924	-2.99
WBGene00228927	0.68
WBGene00228928	-0.85
WBGene00228929	-8.60
WBGene00228930	6.70
WBGene00228931	2.45
WBGene00228932	2.10
WBGene00228934	1.52
WBGene00228938	-6.67
WBGene00228939	-4.05
WBGene00228940	3.65
WBGene00228943	-10.60
WBGene00228944	-8.46
WBGene00228945	2.71
WBGene00228949	1.40
WBGene00228950	-0.73
WBGene00228951	-2.49
WBGene00228953	-9.68
WBGene00228957	3.72
WBGene00228959	-5.31
WBGene00228960	-3.30
WBGene00228961	-7.62
WBGene00228962	-0.71
WBGene00228964	1.76
WBGene00228973	8.42
WBGene00228974	5.40
WBGene00228975	-1.08
WBGene00228976	-3.53
WBGene00228977	1.81
WBGene00228979	-3.06
WBGene00228980	-4.99
WBGene00228981	-2.30
WBGene00228984	-2.43
WBGene00228986	6.79
WBGene00228988	4.78
WBGene00228989	-5.92
WBGene00228990	-7.96
WBGene00228991	-10.26
WBGene00228997	-5.48
WBGene00228998	2.59
WBGene00228999	-2.30
WBGene00229000	-2.24
WBGene00229001	0.55
WBGene00229002	-4.12
WBGene00229003	5.79
WBGene00229004	1.29
WBGene00229007	2.73
WBGene00229011	-0.93
WBGene00229012	-1.17
WBGene00229014	2.03
WBGene00229015	-2.85
WBGene00229016	-1.53
WBGene00229021	3.74
WBGene00229025	-1.24
WBGene00229026	-1.99
WBGene00229027	1.11
WBGene00229029	-1.38
WBGene00229032	-1.90
WBGene00229038	-1.84
WBGene00229039	1.52
WBGene00229041	-10.58
WBGene00229043	-6.31
WBGene00229044	-7.11
WBGene00229047	-2.20
WBGene00229048	0.72
WBGene00229049	4.72
WBGene00229055	-5.55
WBGene00229056	1.90
WBGene00229057	2.84
WBGene00229060	-2.17
WBGene00229061	-6.56
WBGene00229062	1.29
WBGene00229065	-3.77
WBGene00229074	1.11
WBGene00229076	-6.75
WBGene00229079	2.82
WBGene00229084	-2.53
WBGene00229085	5.12
WBGene00229086	-9.56
WBGene00229089	-4.01
WBGene00229090	-1.05
WBGene00229091	1.17
WBGene00229098	-4.96
WBGene00229100	-1.02
WBGene00229101	3.44
WBGene00229103	-6.22
WBGene00229104	3.43
WBGene00229106	-4.01
WBGene00229107	-4.25
WBGene00229109	-8.95
WBGene00229111	-2.12
WBGene00229112	-10.03
WBGene00229113	0.96
WBGene00229114	2.42
WBGene00229116	2.15
WBGene00229118	0.64
WBGene00229120	-3.38
WBGene00229122	-3.49
WBGene00229124	1.54
WBGene00229126	-1.10
WBGene00229129	-5.59
WBGene00229131	0.82
WBGene00229132	-1.18
WBGene00229133	-1.36
WBGene00229134	-0.54
WBGene00229135	-10.77
WBGene00229141	-1.47
WBGene00229143	-4.82
WBGene00229149	2.39
WBGene00229150	0.66
WBGene00229151	0.91
WBGene00229152	-0.77
WBGene00229153	-2.42
WBGene00229155	1.10
WBGene00229156	1.12
WBGene00229158	-6.89
WBGene00229159	-9.32
WBGene00229162	0.99
WBGene00229165	-2.17
WBGene00229168	-3.78
WBGene00229172	1.10
WBGene00229174	-5.06
WBGene00229176	-3.32
WBGene00229177	1.35
WBGene00229178	-9.17
WBGene00229181	1.51
WBGene00229182	2.74
WBGene00229185	-2.19
WBGene00229187	-2.25
WBGene00229188	3.47
WBGene00229189	-1.91
WBGene00229190	-3.82
WBGene00229191	-1.64
WBGene00229192	-2.78
WBGene00229194	-6.41
WBGene00229195	-1.28
WBGene00229197	-7.10
WBGene00229198	-4.11
WBGene00229201	-1.77
WBGene00229203	-1.34
WBGene00229204	-2.24
WBGene00229208	0.61
WBGene00229211	-7.97
WBGene00229213	-3.43
WBGene00229214	-7.57
WBGene00229217	4.37
WBGene00229220	-8.57
WBGene00229224	-9.70
WBGene00229227	4.00
WBGene00229228	-0.77
WBGene00229230	-2.25
WBGene00229237	-6.15
WBGene00229239	-6.93
WBGene00229242	2.60
WBGene00229245	-3.27
WBGene00229251	-6.95
WBGene00229252	-7.80
WBGene00229254	-2.99
WBGene00229257	-7.07
WBGene00229258	-2.24
WBGene00229261	-2.60
WBGene00229262	1.29
WBGene00229265	-1.51
WBGene00229267	-1.81
WBGene00229268	0.38
WBGene00229270	1.40
WBGene00229271	-0.79
WBGene00229272	-7.06
WBGene00229273	-1.54
WBGene00229274	-4.87
WBGene00229276	-7.83
WBGene00229277	-6.24
WBGene00229280	-5.68
WBGene00229282	-1.28
WBGene00229284	-1.77
WBGene00229287	-1.31
WBGene00229290	-5.23
WBGene00229291	-4.75
WBGene00229292	-8.85
WBGene00229293	6.35
WBGene00229294	-1.71
WBGene00229296	-1.94
WBGene00229298	-0.49
WBGene00229301	-6.90
WBGene00229302	-6.03
WBGene00229305	0.78
WBGene00229306	2.17
WBGene00229307	-3.63
WBGene00229308	1.06
WBGene00229309	2.10
WBGene00229312	4.62
WBGene00229313	-3.85
WBGene00229314	1.10
WBGene00229315	-4.67
WBGene00229316	-2.54
WBGene00229317	-1.17
WBGene00229318	-1.95
WBGene00229321	-8.26
WBGene00229322	-1.89
WBGene00229326	-0.67
WBGene00229327	1.68
WBGene00229330	-1.84
WBGene00229331	-5.20
WBGene00229332	0.79
WBGene00229333	-0.86
WBGene00229334	6.70
WBGene00229338	-8.27
WBGene00229340	-1.77
WBGene00229342	-5.00
WBGene00229343	-2.34
WBGene00229344	0.38
WBGene00229348	0.74
WBGene00229350	3.15
WBGene00229352	-4.46
WBGene00229354	5.33
WBGene00229355	-7.11
WBGene00229356	-1.34
WBGene00229357	-1.36
WBGene00229359	1.07
WBGene00229360	4.11
WBGene00229362	-1.14
WBGene00229363	-2.47
WBGene00229364	-13.58
WBGene00229365	0.87
WBGene00229366	-7.55
WBGene00229367	-1.28
WBGene00229369	-1.25
WBGene00229370	-1.69
WBGene00229371	-8.88
WBGene00229373	-1.30
WBGene00229375	2.31
WBGene00229377	-1.74
WBGene00229378	-2.93
WBGene00229381	1.87
WBGene00229383	-4.02
WBGene00229384	-1.33
WBGene00229385	1.97
WBGene00229386	1.01
WBGene00229388	-4.41
WBGene00229389	-5.45
WBGene00229391	3.24
WBGene00229393	-0.56
WBGene00229394	-2.14
WBGene00229402	-3.79
WBGene00229405	-5.59
WBGene00229407	-6.54
WBGene00229414	-7.89
WBGene00229415	5.46
WBGene00229416	-1.93
WBGene00229420	-11.70
WBGene00229424	0.64
WBGene00229425	2.16
WBGene00229427	1.20
WBGene00229428	-0.60
WBGene00229430	2.74
WBGene00229431	-6.97
WBGene00229432	-3.06
WBGene00229433	6.09
WBGene00229434	1.95
WBGene00229435	-3.66
WBGene00229436	2.34
WBGene00229437	-3.87
WBGene00229440	-3.57
WBGene00229441	-2.77
WBGene00229442	-0.78
WBGene00229444	1.03
WBGene00229445	0.67
WBGene00229452	3.04
WBGene00229453	4.91
WBGene00229455	-2.62
WBGene00229456	1.46
WBGene00229457	2.59
WBGene00229461	1.04
WBGene00229462	-1.21
WBGene00229465	0.87
WBGene00229468	-3.34
WBGene00229469	-1.49
WBGene00229470	-2.12
WBGene00229471	-8.78
WBGene00229475	-7.51
WBGene00229476	-1.55
WBGene00229477	-3.66
WBGene00229478	0.89
WBGene00229482	-1.25
WBGene00229483	-2.43
WBGene00229484	-4.48
WBGene00229485	-1.63
WBGene00229486	0.85
WBGene00229488	1.88
WBGene00229489	1.23
WBGene00229492	-2.51
WBGene00229494	2.34
WBGene00229495	1.21
WBGene00229497	2.18
WBGene00229498	0.69
WBGene00229499	-0.64
WBGene00229500	1.22
WBGene00229501	-1.53
WBGene00229502	1.75
WBGene00229504	2.95
WBGene00229505	-6.44
WBGene00229507	2.65
WBGene00229508	1.53
WBGene00229509	-1.42
WBGene00229518	2.12
WBGene00229519	-2.82
WBGene00229520	-1.73
WBGene00229523	-1.35
WBGene00229524	-2.20
WBGene00229525	-4.80
WBGene00229526	2.10
WBGene00229528	-4.33
WBGene00229533	-5.76
WBGene00229536	-6.64
WBGene00229537	-2.88
WBGene00229540	0.71
WBGene00229548	-6.12
WBGene00229549	5.48
WBGene00229551	-6.48
WBGene00229552	1.21
WBGene00229553	-1.90
WBGene00229555	0.45
WBGene00229556	1.71
WBGene00229557	-1.63
WBGene00229558	1.95
WBGene00229561	-1.07
WBGene00229564	1.38
WBGene00229565	-1.65
WBGene00229566	-5.59
WBGene00229570	-2.50
WBGene00229572	-9.95
WBGene00229574	2.10
WBGene00229576	-7.77
WBGene00229578	2.82
WBGene00229579	-1.45
WBGene00229580	-0.52
WBGene00229582	1.01
WBGene00229583	-2.23
WBGene00229586	1.00
WBGene00229588	-1.79
WBGene00229589	-2.84
WBGene00229590	-11.05
WBGene00229593	-5.42
WBGene00229594	-8.43
WBGene00229596	-1.80
WBGene00229597	-0.76
WBGene00229598	-1.12
WBGene00229601	-9.67
WBGene00229603	0.82
WBGene00229604	-1.22
WBGene00229605	-10.19
WBGene00229609	-3.65
WBGene00229612	-1.42
WBGene00229613	-9.32
WBGene00229615	1.81
WBGene00229616	6.05
WBGene00229618	1.72
WBGene00229619	4.34
WBGene00229620	5.08
WBGene00229621	7.37
WBGene00229623	-2.66
WBGene00229624	-1.98
WBGene00229626	1.37
WBGene00229627	-2.31
WBGene00229629	1.39
WBGene00229631	-3.44
WBGene00229636	-3.10
WBGene00229637	-6.95
WBGene00229638	-8.65
WBGene00229639	-4.69
WBGene00229640	-10.67
WBGene00229641	2.03
WBGene00229642	6.20
WBGene00229644	-6.72
WBGene00229645	-3.35
WBGene00229647	0.83
WBGene00229651	-0.47
WBGene00229652	0.45
WBGene00229653	4.38
WBGene00229654	1.98
WBGene00229655	0.88
WBGene00229656	-2.20
WBGene00229657	-6.91
WBGene00229662	-6.05
WBGene00229665	-3.17
WBGene00229668	1.38
WBGene00229669	-4.29
WBGene00229671	-1.25
WBGene00229676	-3.50
WBGene00229678	0.94
WBGene00229680	5.83
WBGene00229682	1.25
WBGene00229683	-6.11
WBGene00229687	-1.62
WBGene00229690	-2.29
WBGene00229691	-2.97
WBGene00229692	-1.74
WBGene00229694	-4.37
WBGene00229695	0.53
WBGene00229696	-2.25
WBGene00229697	-4.04
WBGene00229698	0.92
WBGene00229699	-6.31
WBGene00229701	1.65
WBGene00229703	-3.20
WBGene00229704	-1.56
WBGene00229706	-1.87
WBGene00229707	-0.69
WBGene00229708	-0.68
WBGene00229709	-1.67
WBGene00229711	-2.78
WBGene00229713	-3.22
WBGene00229714	-1.13
WBGene00229715	1.62
WBGene00229718	-2.49
WBGene00229721	1.48
WBGene00229727	2.31
WBGene00229733	0.74
WBGene00229734	0.53
WBGene00229735	0.38
WBGene00229736	1.16
WBGene00229739	0.69
WBGene00229748	2.12
WBGene00229752	-2.27
WBGene00229754	2.50
WBGene00229757	0.88
WBGene00229758	-4.40
WBGene00229759	-9.93
WBGene00229761	-4.71
WBGene00229762	-9.94
WBGene00229764	0.97
WBGene00229765	6.06
WBGene00229766	0.42
WBGene00229767	1.64
WBGene00229768	-4.41
WBGene00229769	-2.37
WBGene00229773	1.35
WBGene00229774	1.57
WBGene00229775	1.07
WBGene00229777	-0.49
WBGene00229781	-4.08
WBGene00229782	3.81
WBGene00229785	-4.65
WBGene00229786	4.04
WBGene00229787	1.78
WBGene00229788	6.48
WBGene00229790	2.00
WBGene00229791	-2.43
WBGene00229792	1.74
WBGene00229794	1.99
WBGene00229795	-0.93
WBGene00229796	-4.73
WBGene00229798	1.51
WBGene00229799	-1.08
WBGene00229800	2.46
WBGene00229801	0.62
WBGene00229802	2.28
WBGene00229804	3.64
WBGene00229805	-1.51
WBGene00229807	-3.26
WBGene00229810	-2.90
WBGene00229812	-7.80
WBGene00229815	0.63
WBGene00229816	3.19
WBGene00229818	-7.20
WBGene00229819	1.34
WBGene00229820	-4.99
WBGene00229821	1.73
WBGene00229822	-1.35
WBGene00229825	1.61
WBGene00229829	0.58
WBGene00229831	2.21
WBGene00229833	-0.97
WBGene00229836	6.71
WBGene00229839	-6.28
WBGene00229842	-2.52
WBGene00229846	-2.09
WBGene00229847	1.33
WBGene00229848	3.87
WBGene00229851	-1.49
WBGene00229854	6.82
WBGene00229856	-2.73
WBGene00229861	-6.03
WBGene00229864	-5.26
WBGene00229868	4.06
WBGene00229869	1.67
WBGene00229872	0.63
WBGene00229878	2.80
WBGene00229879	-1.57
WBGene00229881	-1.71
WBGene00229882	-2.77
WBGene00229883	4.32
WBGene00229888	3.45
WBGene00229892	-1.25
WBGene00229896	0.43
WBGene00229899	0.94
WBGene00229900	0.99
WBGene00229903	-6.54
WBGene00229904	1.22
WBGene00229905	-1.06
WBGene00229907	0.95
WBGene00229913	-1.51
WBGene00229916	-0.59
WBGene00229919	-8.29
WBGene00229923	-1.24
WBGene00229925	1.96
WBGene00229929	-5.22
WBGene00229932	1.94
WBGene00229934	-1.24
WBGene00229940	0.36
WBGene00229941	0.78
WBGene00229942	-1.54
WBGene00229944	-5.59
WBGene00229945	-7.95
WBGene00229946	-4.58
WBGene00229947	-4.41
WBGene00229948	1.08
WBGene00229952	-1.93
WBGene00229953	-0.67
WBGene00229955	1.29
WBGene00229956	0.86
WBGene00229959	-3.51
WBGene00229960	2.24
WBGene00229961	3.58
WBGene00229963	-5.48
WBGene00229964	5.30
WBGene00229965	2.13
WBGene00229966	-7.61
WBGene00229972	-1.20
WBGene00229973	-1.62
WBGene00229975	1.59
WBGene00229976	-2.53
WBGene00229983	-2.44
WBGene00229986	-2.53
WBGene00229987	-1.50
WBGene00229989	-2.03
WBGene00229991	3.40
WBGene00229992	-6.00
WBGene00229993	1.96
WBGene00229996	4.11
WBGene00229997	0.66
WBGene00229998	-1.19
WBGene00229999	-5.23
WBGene00230000	-10.41
WBGene00230001	2.42
WBGene00230002	4.62
WBGene00230005	1.51
WBGene00230007	5.24
WBGene00230011	-4.45
WBGene00230014	0.82
WBGene00230016	3.15
WBGene00230017	-2.94
WBGene00230018	-2.45
WBGene00230019	-0.66
WBGene00230020	-1.09
WBGene00230023	-0.72
WBGene00230025	3.57
WBGene00230027	1.95
WBGene00230028	-1.27
WBGene00230032	0.37
WBGene00230033	2.64
WBGene00230034	4.83
WBGene00230035	-5.97
WBGene00230037	1.36
WBGene00230038	7.01
WBGene00230039	0.49
WBGene00230043	-1.22
WBGene00230044	1.52
WBGene00230046	-1.78
WBGene00230047	-1.72
WBGene00230049	-1.81
WBGene00230050	0.84
WBGene00230056	-4.80
WBGene00230057	-6.50
WBGene00230058	-2.68
WBGene00230059	4.07
WBGene00230061	1.77
WBGene00230062	2.95
WBGene00230063	-0.78
WBGene00230064	-4.97
WBGene00230065	-4.91
WBGene00230066	-0.96
WBGene00230067	-0.99
WBGene00230068	1.83
WBGene00230070	2.99
WBGene00230072	3.82
WBGene00230075	3.02
WBGene00230076	-5.37
WBGene00230077	1.11
WBGene00230080	-1.92
WBGene00230081	1.21
WBGene00230082	4.47
WBGene00230083	-0.81
WBGene00230084	3.56
WBGene00230086	-3.66
WBGene00230088	2.05
WBGene00230089	1.50
WBGene00230091	-6.03
WBGene00230092	5.08
WBGene00230098	-1.28
WBGene00230102	3.41
WBGene00230107	-9.89
WBGene00230108	-1.29
WBGene00230109	-6.51
WBGene00230110	-3.15
WBGene00230111	-1.17
WBGene00230112	-0.72
WBGene00230114	-4.97
WBGene00230115	5.60
WBGene00230116	4.92
WBGene00230119	-1.40
WBGene00230121	-7.57
WBGene00230122	1.03
WBGene00230123	6.18
WBGene00230124	-1.75
WBGene00230129	-0.97
WBGene00230131	0.68
WBGene00230132	1.37
WBGene00230133	-4.21
WBGene00230134	-1.81
WBGene00230135	-0.53
WBGene00230136	-0.70
WBGene00230139	4.87
WBGene00230141	-0.58
WBGene00230143	3.00
WBGene00230147	-3.22
WBGene00230148	-8.21
WBGene00230153	0.85
WBGene00230154	-2.31
WBGene00230158	-0.91
WBGene00230159	-1.94
WBGene00230160	-1.17
WBGene00230162	-7.85
WBGene00230163	0.82
WBGene00230165	3.19
WBGene00230166	-1.69
WBGene00230167	1.25
WBGene00230169	1.96
WBGene00230170	2.98
WBGene00230173	2.58
WBGene00230174	-6.68
WBGene00230175	1.36
WBGene00230176	-4.78
WBGene00230177	1.17
WBGene00230178	-4.69
WBGene00230179	-4.26
WBGene00230180	-1.46
WBGene00230181	-5.40
WBGene00230182	1.42
WBGene00230184	-1.50
WBGene00230185	1.77
WBGene00230187	-1.10
WBGene00230188	-2.82
WBGene00230191	1.20
WBGene00230192	2.53
WBGene00230194	-1.04
WBGene00230196	-2.41
WBGene00230197	2.20
WBGene00230198	0.68
WBGene00230201	5.58
WBGene00230204	0.52
WBGene00230205	-3.92
WBGene00230209	-3.53
WBGene00230210	0.68
WBGene00230212	-6.74
WBGene00230213	-8.91
WBGene00230215	-5.83
WBGene00230217	-2.58
WBGene00230218	0.72
WBGene00230220	-1.52
WBGene00230222	0.89
WBGene00230224	-3.09
WBGene00230225	1.28
WBGene00230226	0.77
WBGene00230227	1.77
WBGene00230230	-0.93
WBGene00230231	-10.08
WBGene00230233	0.36
WBGene00230234	-7.70
WBGene00230236	-6.32
WBGene00230237	-6.91
WBGene00230238	-7.52
WBGene00230239	-8.70
WBGene00230245	1.32
WBGene00230246	2.12
WBGene00230247	-6.58
WBGene00230250	-6.24
WBGene00230255	-0.94
WBGene00230256	6.27
WBGene00230257	1.60
WBGene00230258	-0.93
WBGene00230259	1.62
WBGene00230262	-1.61
WBGene00230263	2.65
WBGene00230265	-1.24
WBGene00230268	-1.71
WBGene00230271	-6.05
WBGene00230274	2.04
WBGene00230275	1.65
WBGene00230277	4.25
WBGene00230278	0.98
WBGene00230280	0.55
WBGene00230281	-11.37
WBGene00230282	4.70
WBGene00230289	-5.87
WBGene00230293	-3.95
WBGene00230295	-5.99
WBGene00230296	-3.30
WBGene00230297	-6.24
WBGene00230299	-1.47
WBGene00230300	1.52
WBGene00230301	-6.11
WBGene00230302	0.90
WBGene00230306	1.54
WBGene00230309	-3.21
WBGene00230312	-2.90
WBGene00230316	3.80
WBGene00230317	-1.82
WBGene00230318	3.06
WBGene00230319	3.21
WBGene00230323	-5.32
WBGene00230324	0.95
WBGene00230326	1.07
WBGene00230329	3.53
WBGene00230331	-4.19
WBGene00230332	6.00
WBGene00230333	-7.50
WBGene00230334	2.61
WBGene00230336	-3.69
WBGene00230337	-3.14
WBGene00230340	2.98
WBGene00230344	2.29
WBGene00230346	3.18
WBGene00230347	2.49
WBGene00230348	-1.85
WBGene00230349	-3.97
WBGene00230350	2.57
WBGene00230351	-5.27
WBGene00230352	-1.69
WBGene00230354	0.62
WBGene00230355	-6.65
WBGene00230358	1.15
WBGene00230359	-5.38
WBGene00230360	-11.39
WBGene00230361	-2.51
WBGene00230366	0.85
WBGene00230376	-1.60
WBGene00230377	-1.79
WBGene00230381	-6.31
WBGene00230382	-10.63
WBGene00230384	1.23
WBGene00230385	1.94
WBGene00230386	1.08
WBGene00230387	1.84
WBGene00230390	3.45
WBGene00230391	-6.28
WBGene00230393	0.72
WBGene00230395	1.80
WBGene00230396	0.67
WBGene00230397	-2.94
WBGene00230399	-2.88
WBGene00230401	-3.75
WBGene00230408	-4.18
WBGene00230411	-5.29
WBGene00230412	-1.65
WBGene00230414	-1.50
WBGene00230416	2.81
WBGene00230417	-0.95
WBGene00230418	-5.58
WBGene00230419	1.59
WBGene00230420	-8.59
WBGene00230423	-11.72
WBGene00230426	-2.64
WBGene00230427	-0.36
WBGene00230430	-1.72
WBGene00230431	-5.45
WBGene00230436	-7.32
WBGene00230438	0.80
WBGene00230439	3.34
WBGene00230440	-1.90
WBGene00230443	0.78
WBGene00230445	-6.47
WBGene00230446	2.84
WBGene00230450	2.98
WBGene00230455	-4.95
WBGene00230456	-1.48
WBGene00230461	-2.65
WBGene00230462	-4.51
WBGene00230463	-2.47
WBGene00230464	-9.32
WBGene00230473	1.10
WBGene00230474	4.46
WBGene00230475	5.59
WBGene00230476	4.91
WBGene00230477	7.10
WBGene00230480	-2.46
WBGene00230481	0.83
WBGene00230482	-8.52
WBGene00230483	-3.70
WBGene00230485	-1.99
WBGene00230488	-8.51
WBGene00230489	1.33
WBGene00230490	1.51
WBGene00230493	-7.20
WBGene00230498	-1.58
WBGene00230501	0.64
WBGene00230503	-4.76
WBGene00230504	-0.67
WBGene00230505	1.31
WBGene00230506	1.82
WBGene00230508	-2.13
WBGene00230509	-6.24
WBGene00230510	-2.15
WBGene00230511	-3.75
WBGene00230512	-6.17
WBGene00230513	3.85
WBGene00230515	0.69
WBGene00230520	-6.46
WBGene00230523	1.14
WBGene00230525	2.11
WBGene00230526	-0.73
WBGene00230530	-1.17
WBGene00230532	-1.15
WBGene00230534	-2.79
WBGene00230535	2.29
WBGene00230536	1.84
WBGene00230537	-3.65
WBGene00230542	4.88
WBGene00230546	-0.62
WBGene00230557	4.50
WBGene00230558	2.39
WBGene00230560	3.36
WBGene00230565	2.46
WBGene00230566	1.45
WBGene00230568	0.93
WBGene00230569	7.30
WBGene00230571	0.88
WBGene00230573	-0.51
WBGene00230574	-4.43
WBGene00230576	-1.04
WBGene00230577	-2.92
WBGene00230578	-5.59
WBGene00230582	-1.40
WBGene00230584	-2.74
WBGene00230586	-10.90
WBGene00230587	1.79
WBGene00230588	1.26
WBGene00230589	-3.63
WBGene00230591	-7.04
WBGene00230592	-4.54
WBGene00230600	1.85
WBGene00230604	-2.19
WBGene00230605	-3.23
WBGene00230609	0.87
WBGene00230610	-0.75
WBGene00230612	-3.10
WBGene00230613	-3.80
WBGene00230614	-5.69
WBGene00230617	-8.58
WBGene00230618	-3.15
WBGene00230619	-2.81
WBGene00230622	1.38
WBGene00230624	1.46
WBGene00230625	-1.05
WBGene00230626	5.26
WBGene00230627	7.05
WBGene00230629	2.57
WBGene00230630	3.30
WBGene00230633	1.23
WBGene00230634	-1.39
WBGene00230638	4.35
WBGene00230639	1.43
WBGene00230642	-8.78
WBGene00230643	-0.91
WBGene00230644	0.63
WBGene00230646	-7.12
WBGene00230647	0.91
WBGene00230648	-0.94
WBGene00230651	-11.10
WBGene00230652	0.91
WBGene00230653	-1.56
WBGene00230654	-7.69
WBGene00230655	1.55
WBGene00230656	4.79
WBGene00230657	-7.46
WBGene00230658	-2.24
WBGene00230659	-10.37
WBGene00230660	1.31
WBGene00230662	-5.60
WBGene00230663	2.95
WBGene00230664	1.19
WBGene00230667	-2.68
WBGene00230668	-1.43
WBGene00230669	0.50
WBGene00230670	-1.24
WBGene00230671	5.69
WBGene00230672	-0.68
WBGene00230674	4.06
WBGene00230677	3.83
WBGene00230680	-2.50
WBGene00230681	1.83
WBGene00230685	-1.71
WBGene00230687	-2.24
WBGene00230688	1.68
WBGene00230691	-2.02
WBGene00230692	-3.42
WBGene00230693	-1.22
